accountS,symbol,security_type,order_type,strategy_alias,note
-1,-1,-1,-1,103,Defult
-1,003000.SZ,-1,101|102,104,
-1,300103.SZ,-1,101|102,104,
-1,300354.SZ,-1,101|102,104,
-1,300517.SZ,-1,101|102,104,
-1,301026.SZ,-1,101|102,104,
-1,001211.SZ,-1,101|102,104,
-1,002294.SZ,-1,101|102,104,
-1,003018.SZ,-1,101|102,104,
-1,300416.SZ,-1,101|102,104,
-1,300908.SZ,-1,101|102,104,
-1,301086.SZ,-1,101|102,104,
-1,003020.SZ,-1,101|102,104,
-1,300092.SZ,-1,101|102,104,
-1,301031.SZ,-1,101|102,104,
-1,000789.SZ,-1,101|102,104,
-1,002154.SZ,-1,101|102,104,
-1,002595.SZ,-1,101|102,104,
-1,002715.SZ,-1,101|102,104,
-1,002724.SZ,-1,101|102,104,
-1,002890.SZ,-1,101|102,104,
-1,003006.SZ,-1,101|102,104,
-1,300596.SZ,-1,101|102,104,
-1,300953.SZ,-1,101|102,104,
-1,000596.SZ,-1,101|102,104,
-1,002293.SZ,-1,101|102,104,
-1,002811.SZ,-1,101|102,104,
-1,002959.SZ,-1,101|102,104,
-1,300761.SZ,-1,101|102,104,
-1,300855.SZ,-1,101|102,104,
-1,300973.SZ,-1,101|102,104,
-1,300599.SZ,-1,101|102,104,
-1,000695.SZ,-1,101|102,104,
-1,002465.SZ,-1,101|102,104,
-1,300294.SZ,-1,101|102,104,
-1,300281.SZ,-1,101|102,104,
-1,301333.SZ,-1,101|102,104,
-1,002299.SZ,-1,101|102,104,
-1,002381.SZ,-1,101|102,104,
-1,003041.SZ,-1,101|102,104,
-1,003025.SZ,-1,101|102,104,
-1,300841.SZ,-1,101|102,104,
-1,000028.SZ,-1,101|102,104,
-1,002830.SZ,-1,101|102,104,
-1,002942.SZ,-1,101|102,104,
-1,003033.SZ,-1,101|102,104,
-1,300119.SZ,-1,101|102,104,
-1,300454.SZ,-1,101|102,104,
-1,301113.SZ,-1,101|102,104,
-1,000690.SZ,-1,101|102,104,
-1,300371.SZ,-1,101|102,104,
-1,300811.SZ,-1,101|102,104,
-1,301035.SZ,-1,101|102,104,
-1,000020.SZ,-1,101|102,104,
